# auctores.tsv - tabula fiduciae (T32 a, 2026-09-09): titulus regulae, arcus, rectae, permille - plagulae pinnatae solae; regeneratio: python3 oratio/census/fiducia.py <mensura.tsv> (causa nominata)
umbra-obiectum-verbi-anglicum	413	383	927
umbra-caput-sequente-proximo	2202	1637	743
umbra-subiectum-praecedente-proximo	485	342	705
umbra-subiectum-sequente-proximo	244	172	704
umbra-caput-incerti-proprii-sequente-proximo	403	261	647
umbra-caput-praecedente-proximo	1666	1041	624
umbra-obiectum-verbi-praecedente-proximo	1374	763	555
umbra-caput-dativus-praecedente	135	72	533
umbra-obiectum-ablativi	1985	1017	512
lex-capitis	72	35	486
umbra-caput-vocativus-praecedente	10	4	400
umbra-obiectum-incerti-proprii	322	126	391
umbra-obiectum-verbi-sequente-proximo	819	277	338
umbra-obiectum-ignoti	164	48	292
umbra-obiectum-accusativi	1493	432	289
umbra-caput-genitivus-sequente	143	38	265
umbra-caput-accusativus-sequente	326	77	236
umbra-subiectum-praecedente	831	190	228
umbra-subiectum-sequente	150	31	206
umbra-caput-ablativus-sequente	101	19	188
umbra-caput-nominativus-sequente	681	125	183
umbra-caput-dativus-sequente	132	16	121
umbra-caput-nominativus-praecedente	517	58	112
umbra-caput-accusativus-praecedente	262	29	110
umbra-caput-genitivus-praecedente	92	10	108
umbra-caput-ablativus-praecedente	51	5	98
umbra-obiectum-auxiliaris-anglicum	61	6	98
umbra-caput-incerti-proprii-praecedente-proximo	257	22	85
umbra-caput-incerti-proprii-sequente	765	46	60
umbra-caput-incerti-proprii-praecedente	192	2	10
umbra-caput-vocativus-sequente	6	0	0
