# pondera.tsv - tabula ponderum decretoris (T38 b, 2026-09-15): contentiones et rectae per (regula, dialectus, forma, folliculus, valor) ex ordinibus LIS plagularum EDITIBILIUM (la_circse, la_llct) solis; scrinium numquam; regeneratio: python3 oratio/census/pondera.py <lites.tsv> -scribere (causa nominata); fons 06b4dbfe lites_t38c_off.tsv
regula	dialectus	forma	folliculus	valor	contentiones	rectae	permille
@caput+ante+proximo	-	-	-	-	542	218	402
@caput+ante+proximo	-	prosa	-	-	291	161	553
@caput+ante+proximo	-	versus	-	-	251	57	227
@caput+ante+proximo	classicus	-	-	-	281	60	213
@caput+ante+proximo	classicus	prosa	-	-	30	3	100
@caput+ante+proximo	classicus	versus	-	-	251	57	227
@caput+ante+proximo	medius	-	-	-	261	158	605
@caput+ante+proximo	medius	prosa	-	-	261	158	605
@caput+ante+remoto	-	-	-	-	2832	672	237
@caput+ante+remoto	-	prosa	-	-	2465	580	235
@caput+ante+remoto	-	versus	-	-	367	92	250
@caput+ante+remoto	classicus	-	-	-	404	96	237
@caput+ante+remoto	classicus	prosa	-	-	37	4	108
@caput+ante+remoto	classicus	versus	-	-	367	92	250
@caput+ante+remoto	medius	-	-	-	2428	576	237
@caput+ante+remoto	medius	prosa	-	-	2428	576	237
@caput+post+proximo	-	-	-	-	1177	479	406
@caput+post+proximo	-	prosa	-	-	975	406	416
@caput+post+proximo	-	versus	-	-	202	73	361
@caput+post+proximo	classicus	-	-	-	229	77	336
@caput+post+proximo	classicus	prosa	-	-	27	4	148
@caput+post+proximo	classicus	versus	-	-	202	73	361
@caput+post+proximo	medius	-	-	-	948	402	424
@caput+post+proximo	medius	prosa	-	-	948	402	424
@caput+post+remoto	-	-	-	-	1503	64	42
@caput+post+remoto	-	prosa	-	-	1231	17	13
@caput+post+remoto	-	versus	-	-	272	47	172
@caput+post+remoto	classicus	-	-	-	297	49	164
@caput+post+remoto	classicus	prosa	-	-	25	2	80
@caput+post+remoto	classicus	versus	-	-	272	47	172
@caput+post+remoto	medius	-	-	-	1206	15	12
@caput+post+remoto	medius	prosa	-	-	1206	15	12
@obiectum+ante+proximo	-	-	-	-	175	172	982
@obiectum+ante+proximo	-	prosa	-	-	163	162	993
@obiectum+ante+proximo	-	versus	-	-	12	10	833
@obiectum+ante+proximo	classicus	-	-	-	14	12	857
@obiectum+ante+proximo	classicus	prosa	-	-	2	2	1000
@obiectum+ante+proximo	classicus	versus	-	-	12	10	833
@obiectum+ante+proximo	medius	-	-	-	161	160	993
@obiectum+ante+proximo	medius	prosa	-	-	161	160	993
@obiectum+ante+remoto	-	-	-	-	127	25	196
@obiectum+ante+remoto	-	prosa	-	-	112	18	160
@obiectum+ante+remoto	-	versus	-	-	15	7	466
@obiectum+ante+remoto	classicus	-	-	-	19	8	421
@obiectum+ante+remoto	classicus	prosa	-	-	4	1	250
@obiectum+ante+remoto	classicus	versus	-	-	15	7	466
@obiectum+ante+remoto	medius	-	-	-	108	17	157
@obiectum+ante+remoto	medius	prosa	-	-	108	17	157
@obiectum-verbi+ante+proximo	-	-	-	-	639	261	408
@obiectum-verbi+ante+proximo	-	prosa	-	-	156	81	519
@obiectum-verbi+ante+proximo	-	versus	-	-	483	180	372
@obiectum-verbi+ante+proximo	classicus	-	-	-	523	194	370
@obiectum-verbi+ante+proximo	classicus	prosa	-	-	40	14	350
@obiectum-verbi+ante+proximo	classicus	versus	-	-	483	180	372
@obiectum-verbi+ante+proximo	medius	-	-	-	116	67	577
@obiectum-verbi+ante+proximo	medius	prosa	-	-	116	67	577
@obiectum-verbi+ante+remoto	-	-	-	-	142	122	859
@obiectum-verbi+ante+remoto	-	prosa	-	-	2	0	0
@obiectum-verbi+ante+remoto	-	versus	-	-	140	122	871
@obiectum-verbi+ante+remoto	classicus	-	-	-	142	122	859
@obiectum-verbi+ante+remoto	classicus	prosa	-	-	2	0	0
@obiectum-verbi+ante+remoto	classicus	versus	-	-	140	122	871
@obiectum-verbi+post+proximo	-	-	-	-	714	123	172
@obiectum-verbi+post+proximo	-	prosa	-	-	343	49	142
@obiectum-verbi+post+proximo	-	versus	-	-	371	74	199
@obiectum-verbi+post+proximo	classicus	-	-	-	403	82	203
@obiectum-verbi+post+proximo	classicus	prosa	-	-	32	8	250
@obiectum-verbi+post+proximo	classicus	versus	-	-	371	74	199
@obiectum-verbi+post+proximo	medius	-	-	-	311	41	131
@obiectum-verbi+post+proximo	medius	prosa	-	-	311	41	131
@obiectum-verbi+post+remoto	-	-	-	-	14	1	71
@obiectum-verbi+post+remoto	-	prosa	-	-	13	1	76
@obiectum-verbi+post+remoto	-	versus	-	-	1	0	0
@obiectum-verbi+post+remoto	classicus	-	-	-	13	0	0
@obiectum-verbi+post+remoto	classicus	prosa	-	-	12	0	0
@obiectum-verbi+post+remoto	classicus	versus	-	-	1	0	0
@obiectum-verbi+post+remoto	medius	-	-	-	1	1	1000
@obiectum-verbi+post+remoto	medius	prosa	-	-	1	1	1000
@subiectum+ante+proximo	-	-	-	-	1004	594	591
@subiectum+ante+proximo	-	prosa	-	-	527	421	798
@subiectum+ante+proximo	-	versus	-	-	477	173	362
@subiectum+ante+proximo	classicus	-	-	-	517	192	371
@subiectum+ante+proximo	classicus	prosa	-	-	40	19	475
@subiectum+ante+proximo	classicus	versus	-	-	477	173	362
@subiectum+ante+proximo	medius	-	-	-	487	402	825
@subiectum+ante+proximo	medius	prosa	-	-	487	402	825
@subiectum+ante+remoto	-	-	-	-	3681	469	127
@subiectum+ante+remoto	-	prosa	-	-	2980	291	97
@subiectum+ante+remoto	-	versus	-	-	701	178	253
@subiectum+ante+remoto	classicus	-	-	-	739	187	253
@subiectum+ante+remoto	classicus	prosa	-	-	38	9	236
@subiectum+ante+remoto	classicus	versus	-	-	701	178	253
@subiectum+ante+remoto	medius	-	-	-	2942	282	95
@subiectum+ante+remoto	medius	prosa	-	-	2942	282	95
@subiectum+post+proximo	-	-	-	-	352	95	269
@subiectum+post+proximo	-	prosa	-	-	90	9	100
@subiectum+post+proximo	-	versus	-	-	262	86	328
@subiectum+post+proximo	classicus	-	-	-	288	92	319
@subiectum+post+proximo	classicus	prosa	-	-	26	6	230
@subiectum+post+proximo	classicus	versus	-	-	262	86	328
@subiectum+post+proximo	medius	-	-	-	64	3	46
@subiectum+post+proximo	medius	prosa	-	-	64	3	46
@subiectum+post+remoto	-	-	-	-	1080	27	25
@subiectum+post+remoto	-	prosa	-	-	800	4	5
@subiectum+post+remoto	-	versus	-	-	280	23	82
@subiectum+post+remoto	classicus	-	-	-	287	26	90
@subiectum+post+remoto	classicus	prosa	-	-	7	3	428
@subiectum+post+remoto	classicus	versus	-	-	280	23	82
@subiectum+post+remoto	medius	-	-	-	793	1	1
@subiectum+post+remoto	medius	prosa	-	-	793	1	1
umbra-caput-ablativus-praecedente	-	-	-	-	69	46	666
umbra-caput-ablativus-praecedente	-	prosa	-	-	68	46	676
umbra-caput-ablativus-praecedente	-	versus	-	-	1	0	0
umbra-caput-ablativus-praecedente	classicus	-	-	-	2	0	0
umbra-caput-ablativus-praecedente	classicus	prosa	-	-	1	0	0
umbra-caput-ablativus-praecedente	classicus	versus	-	-	1	0	0
umbra-caput-ablativus-praecedente	medius	-	-	-	67	46	686
umbra-caput-ablativus-praecedente	medius	prosa	-	-	67	46	686
umbra-caput-ablativus-sequente	-	-	-	-	470	2	4
umbra-caput-ablativus-sequente	-	-	positio-numerus	0+singularis	15	0	0
umbra-caput-ablativus-sequente	-	-	positio-numerus	1+singularis	13	2	153
umbra-caput-ablativus-sequente	-	prosa	-	-	449	0	0
umbra-caput-ablativus-sequente	-	versus	-	-	21	2	95
umbra-caput-ablativus-sequente	classicus	-	-	-	23	2	86
umbra-caput-ablativus-sequente	classicus	-	positio-numerus	1+singularis	4	2	500
umbra-caput-ablativus-sequente	classicus	prosa	-	-	2	0	0
umbra-caput-ablativus-sequente	classicus	versus	-	-	21	2	95
umbra-caput-ablativus-sequente	medius	-	-	-	447	0	0
umbra-caput-ablativus-sequente	medius	-	positio-numerus	0+singularis	15	0	0
umbra-caput-ablativus-sequente	medius	-	positio-numerus	1+singularis	9	0	0
umbra-caput-ablativus-sequente	medius	prosa	-	-	447	0	0
umbra-caput-accusativus-praecedente	-	-	-	-	158	50	316
umbra-caput-accusativus-praecedente	-	prosa	-	-	112	37	330
umbra-caput-accusativus-praecedente	-	versus	-	-	46	13	282
umbra-caput-accusativus-praecedente	classicus	-	-	-	57	14	245
umbra-caput-accusativus-praecedente	classicus	prosa	-	-	11	1	90
umbra-caput-accusativus-praecedente	classicus	versus	-	-	46	13	282
umbra-caput-accusativus-praecedente	medius	-	-	-	101	36	356
umbra-caput-accusativus-praecedente	medius	prosa	-	-	101	36	356
umbra-caput-accusativus-sequente	-	-	-	-	347	51	146
umbra-caput-accusativus-sequente	-	prosa	-	-	232	8	34
umbra-caput-accusativus-sequente	-	versus	-	-	115	43	373
umbra-caput-accusativus-sequente	classicus	-	-	-	124	45	362
umbra-caput-accusativus-sequente	classicus	prosa	-	-	9	2	222
umbra-caput-accusativus-sequente	classicus	versus	-	-	115	43	373
umbra-caput-accusativus-sequente	medius	-	-	-	223	6	26
umbra-caput-accusativus-sequente	medius	prosa	-	-	223	6	26
umbra-caput-dativus-praecedente	-	-	-	-	30	1	33
umbra-caput-dativus-praecedente	-	prosa	-	-	26	0	0
umbra-caput-dativus-praecedente	-	versus	-	-	4	1	250
umbra-caput-dativus-praecedente	classicus	-	-	-	6	1	166
umbra-caput-dativus-praecedente	classicus	prosa	-	-	2	0	0
umbra-caput-dativus-praecedente	classicus	versus	-	-	4	1	250
umbra-caput-dativus-praecedente	medius	-	-	-	24	0	0
umbra-caput-dativus-praecedente	medius	prosa	-	-	24	0	0
