regula	dialectus	forma	folliculus	valor	contentiones	rectae	permille
@obiectum-verbi+ante+proximo	-	-	-	-	11	5	454
@obiectum-verbi+ante+proximo	-	prosa	-	-	5	3	600
@obiectum-verbi+ante+proximo	-	versus	-	-	6	2	333
@obiectum-verbi+ante+proximo	classicus	-	-	-	6	2	333
@obiectum-verbi+ante+proximo	classicus	versus	-	-	6	2	333
@obiectum-verbi+ante+proximo	medius	-	-	-	5	3	600
@obiectum-verbi+ante+proximo	medius	prosa	-	-	5	3	600
@subiectum+ante+proximo	-	-	-	-	11	4	363
@subiectum+ante+proximo	-	prosa	-	-	5	1	200
@subiectum+ante+proximo	-	versus	-	-	6	3	500
@subiectum+ante+proximo	classicus	-	-	-	6	3	500
@subiectum+ante+proximo	classicus	versus	-	-	6	3	500
@subiectum+ante+proximo	medius	-	-	-	5	1	200
@subiectum+ante+proximo	medius	prosa	-	-	5	1	200
umbra-obiectum-verbi-praecedente-proximo	-	-	-	-	11	5	454
umbra-obiectum-verbi-praecedente-proximo	-	-	positio-numerus	1+pluralis	7	4	571
umbra-obiectum-verbi-praecedente-proximo	-	-	positio-numerus	1+singularis	4	1	250
umbra-obiectum-verbi-praecedente-proximo	-	prosa	-	-	5	3	600
umbra-obiectum-verbi-praecedente-proximo	-	versus	-	-	6	2	333
umbra-obiectum-verbi-praecedente-proximo	classicus	-	-	-	6	2	333
umbra-obiectum-verbi-praecedente-proximo	classicus	-	positio-numerus	1+pluralis	5	2	400
umbra-obiectum-verbi-praecedente-proximo	classicus	-	positio-numerus	1+singularis	1	0	0
umbra-obiectum-verbi-praecedente-proximo	classicus	versus	-	-	6	2	333
umbra-obiectum-verbi-praecedente-proximo	medius	-	-	-	5	3	600
umbra-obiectum-verbi-praecedente-proximo	medius	-	positio-numerus	1+pluralis	2	2	1000
umbra-obiectum-verbi-praecedente-proximo	medius	-	positio-numerus	1+singularis	3	1	333
umbra-obiectum-verbi-praecedente-proximo	medius	prosa	-	-	5	3	600
umbra-subiectum-praecedente-proximo	-	-	-	-	11	4	363
umbra-subiectum-praecedente-proximo	-	-	positio-numerus	1+pluralis	3	2	666
umbra-subiectum-praecedente-proximo	-	-	positio-numerus	1+singularis	8	2	250
umbra-subiectum-praecedente-proximo	-	prosa	-	-	5	1	200
umbra-subiectum-praecedente-proximo	-	versus	-	-	6	3	500
umbra-subiectum-praecedente-proximo	classicus	-	-	-	6	3	500
umbra-subiectum-praecedente-proximo	classicus	-	positio-numerus	1+pluralis	2	2	1000
umbra-subiectum-praecedente-proximo	classicus	-	positio-numerus	1+singularis	4	1	250
umbra-subiectum-praecedente-proximo	classicus	versus	-	-	6	3	500
umbra-subiectum-praecedente-proximo	medius	-	-	-	5	1	200
umbra-subiectum-praecedente-proximo	medius	-	positio-numerus	1+pluralis	1	0	0
umbra-subiectum-praecedente-proximo	medius	-	positio-numerus	1+singularis	4	1	250
umbra-subiectum-praecedente-proximo	medius	prosa	-	-	5	1	200
