#classis	via	linea	columna	offset	nota
sedes	silva/probationes/fixa/renominationis/planum_membra.c	5	9	155	
aliena	silva/probationes/fixa/renominationis/planum_membra.c	10	9	214	
aliena	silva/probationes/fixa/renominationis/planum_membra.c	14	12	255	
usus	silva/probationes/fixa/renominationis/planum_membra.c	23	13	403	
usus	silva/probationes/fixa/renominationis/planum_membra.c	23	25	415	
aliena	silva/probationes/fixa/renominationis/planum_membra.c	23	34	424	
aliena	silva/probationes/fixa/renominationis/planum_membra.c	24	8	439	
usus	silva/probationes/fixa/renominationis/planum_membra.c	24	25	456	
usus	silva/probationes/fixa/renominationis/planum_membra.c	25	21	484	
aliena	silva/probationes/fixa/renominationis/planum_membra.c	25	33	496	
usus	silva/probationes/fixa/renominationis/planum_membra.c	36	7	598	
aliena	silva/probationes/fixa/renominationis/planum_membra.c	38	7	635	
aliena	silva/probationes/fixa/renominationis/planum_membra.c	40	32	695	
VERDICTUM	PLANUM
